"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","222","Check Calendar button","","Wed May 07 12:36:37 GMT 2025","broken","Wed May 07 12:36:38 GMT 2025","","Frontend Menu Functionality","Check Calendar button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","219","Check Settings button","","Wed May 07 12:36:39 GMT 2025","broken","Wed May 07 12:36:39 GMT 2025","","Frontend Menu Functionality","Check Settings button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","225","Check Sign Up link button","","Wed May 07 12:36:34 GMT 2025","broken","Wed May 07 12:36:35 GMT 2025","","Login Functionality","Check Sign Up link button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","221","Check Login button","","Wed May 07 12:36:39 GMT 2025","broken","Wed May 07 12:36:39 GMT 2025","","Frontend Menu Functionality","Check Login button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","229","Check Home button","","Wed May 07 12:36:35 GMT 2025","broken","Wed May 07 12:36:35 GMT 2025","","Frontend Menu Functionality","Check Home button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","230","Check Grades button","","Wed May 07 12:36:37 GMT 2025","broken","Wed May 07 12:36:37 GMT 2025","","Frontend Menu Functionality","Check Grades button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","230","Forgot password link","","Wed May 07 12:36:34 GMT 2025","broken","Wed May 07 12:36:34 GMT 2025","","Login Functionality","Forgot password link",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","228","Check What We Do button","","Wed May 07 12:36:35 GMT 2025","broken","Wed May 07 12:36:35 GMT 2025","","Frontend Menu Functionality","Check What We Do button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","220","Check My Profile button","","Wed May 07 12:36:38 GMT 2025","broken","Wed May 07 12:36:38 GMT 2025","","Frontend Menu Functionality","Check My Profile button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","295","Unsuccessful login with invalid credentials","","Wed May 07 12:36:33 GMT 2025","broken","Wed May 07 12:36:34 GMT 2025","","Login Functionality","Unsuccessful login with invalid credentials",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","234","Unsuccessful login with invalid credentials","","Wed May 07 12:36:33 GMT 2025","broken","Wed May 07 12:36:33 GMT 2025","","Login Functionality","Unsuccessful login with invalid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","222","Check Gameplan button","","Wed May 07 12:36:37 GMT 2025","broken","Wed May 07 12:36:37 GMT 2025","","Frontend Menu Functionality","Check Gameplan button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","225","Check Guidelines button","","Wed May 07 12:36:37 GMT 2025","broken","Wed May 07 12:36:37 GMT 2025","","Frontend Menu Functionality","Check Guidelines button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","222","Check Contact Us button","","Wed May 07 12:36:36 GMT 2025","broken","Wed May 07 12:36:36 GMT 2025","","Frontend Menu Functionality","Check Contact Us button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","221","Check Film To Field button","","Wed May 07 12:36:39 GMT 2025","broken","Wed May 07 12:36:39 GMT 2025","","Frontend Menu Functionality","Check Film To Field button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","223","Check Study Guide button","","Wed May 07 12:36:38 GMT 2025","broken","Wed May 07 12:36:39 GMT 2025","","Frontend Menu Functionality","Check Study Guide button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","229","Check Testimonials button","","Wed May 07 12:36:36 GMT 2025","broken","Wed May 07 12:36:36 GMT 2025","","Frontend Menu Functionality","Check Testimonials button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","234","Validation empty login or password fields","","Wed May 07 12:36:34 GMT 2025","broken","Wed May 07 12:36:34 GMT 2025","","Login Functionality","Validation empty login or password fields",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","222","Check Coach Directory button","","Wed May 07 12:36:38 GMT 2025","broken","Wed May 07 12:36:38 GMT 2025","","Frontend Menu Functionality","Check Coach Directory button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","221","Check Classroom button","","Wed May 07 12:36:39 GMT 2025","broken","Wed May 07 12:36:39 GMT 2025","","Frontend Menu Functionality","Check Classroom button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","225","Check Scholarships button","","Wed May 07 12:36:36 GMT 2025","broken","Wed May 07 12:36:37 GMT 2025","","Frontend Menu Functionality","Check Scholarships button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","280","Check Our Team button","","Wed May 07 12:36:36 GMT 2025","broken","Wed May 07 12:36:36 GMT 2025","","Frontend Menu Functionality","Check Our Team button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","243","Check Background button","","Wed May 07 12:36:35 GMT 2025","broken","Wed May 07 12:36:36 GMT 2025","","Frontend Menu Functionality","Check Background button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","224","Check F.A.C. button","","Wed May 07 12:36:36 GMT 2025","broken","Wed May 07 12:36:36 GMT 2025","","Frontend Menu Functionality","Check F.A.C. button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","231","Check all options are displayed and clickable for Menu button","","Wed May 07 12:36:35 GMT 2025","broken","Wed May 07 12:36:35 GMT 2025","","Frontend Menu Functionality","Check all options are displayed and clickable for Menu button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","226","Validation empty login or password fields","","Wed May 07 12:36:34 GMT 2025","broken","Wed May 07 12:36:34 GMT 2025","","Login Functionality","Validation empty login or password fields",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","222","Check Get Verified button","","Wed May 07 12:36:39 GMT 2025","broken","Wed May 07 12:36:40 GMT 2025","","Frontend Menu Functionality","Check Get Verified button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","11589","Successful login with valid credentials","","Wed May 07 12:36:21 GMT 2025","broken","Wed May 07 12:36:33 GMT 2025","","Login Functionality","Successful login with valid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","226","Check Player Directory button","","Wed May 07 12:36:38 GMT 2025","broken","Wed May 07 12:36:38 GMT 2025","","Frontend Menu Functionality","Check Player Directory button",""
