"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","2290","Check Sign Up link button","","Wed May 07 15:28:23 GMT 2025","passed","Wed May 07 15:28:25 GMT 2025","","Login Functionality","Check Sign Up link button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","2653","Unsuccessful login with invalid credentials","","Wed May 07 15:28:11 GMT 2025","passed","Wed May 07 15:28:14 GMT 2025","","Login Functionality","Unsuccessful login with invalid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5870","Check Player Directory button","","Wed May 07 15:29:21 GMT 2025","passed","Wed May 07 15:29:27 GMT 2025","","Frontend Menu Functionality","Check Player Directory button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","3035","Unsuccessful login with invalid credentials","","Wed May 07 15:28:08 GMT 2025","passed","Wed May 07 15:28:11 GMT 2025","","Login Functionality","Unsuccessful login with invalid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5437","Check Classroom button","","Wed May 07 15:29:41 GMT 2025","passed","Wed May 07 15:29:47 GMT 2025","","Frontend Menu Functionality","Check Classroom button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","6381","Check Film To Field button","","Wed May 07 15:29:47 GMT 2025","passed","Wed May 07 15:29:53 GMT 2025","","Frontend Menu Functionality","Check Film To Field button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","3444","Check Our Team button","","Wed May 07 15:28:52 GMT 2025","passed","Wed May 07 15:28:56 GMT 2025","","Frontend Menu Functionality","Check Our Team button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","2668","Check Home button","","Wed May 07 15:28:30 GMT 2025","passed","Wed May 07 15:28:33 GMT 2025","","Frontend Menu Functionality","Check Home button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","3371","Check What We Do button","","Wed May 07 15:28:33 GMT 2025","passed","Wed May 07 15:28:36 GMT 2025","","Frontend Menu Functionality","Check What We Do button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5621","Check Calendar button","","Wed May 07 15:29:16 GMT 2025","passed","Wed May 07 15:29:21 GMT 2025","","Frontend Menu Functionality","Check Calendar button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4380","Check Testimonials button","","Wed May 07 15:28:40 GMT 2025","passed","Wed May 07 15:28:44 GMT 2025","","Frontend Menu Functionality","Check Testimonials button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","3506","Check F.A.C. button","","Wed May 07 15:28:44 GMT 2025","passed","Wed May 07 15:28:48 GMT 2025","","Frontend Menu Functionality","Check F.A.C. button",""
