"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4670","Check Player Directory button","","Wed May 07 14:49:25 GMT 2025","passed","Wed May 07 14:49:30 GMT 2025","","Frontend Menu Functionality","Check Player Directory button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5957","Check Scholarships button","","Wed May 07 14:48:58 GMT 2025","passed","Wed May 07 14:49:04 GMT 2025","","Frontend Menu Functionality","Check Scholarships button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4873","Check Login button","","Wed May 07 14:50:05 GMT 2025","passed","Wed May 07 14:50:10 GMT 2025","","Frontend Menu Functionality","Check Login button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","1373","Validation empty login or password fields","","Wed May 07 14:48:16 GMT 2025","passed","Wed May 07 14:48:18 GMT 2025","","Login Functionality","Validation empty login or password fields",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4157","Check Study Guide button","","Wed May 07 14:49:41 GMT 2025","passed","Wed May 07 14:49:45 GMT 2025","","Frontend Menu Functionality","Check Study Guide button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","6464","Check Film To Field button","","Wed May 07 14:49:51 GMT 2025","passed","Wed May 07 14:49:57 GMT 2025","","Frontend Menu Functionality","Check Film To Field button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4973","Check all options are displayed and clickable for Menu button","","Wed May 07 14:48:26 GMT 2025","passed","Wed May 07 14:48:31 GMT 2025","","Frontend Menu Functionality","Check all options are displayed and clickable for Menu button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","8108","Check Settings button","","Wed May 07 14:49:57 GMT 2025","passed","Wed May 07 14:50:05 GMT 2025","","Frontend Menu Functionality","Check Settings button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4585","Check Get Verified button","","Wed May 07 14:50:10 GMT 2025","passed","Wed May 07 14:50:15 GMT 2025","","Frontend Menu Functionality","Check Get Verified button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","6069","Check My Profile button","","Wed May 07 14:49:30 GMT 2025","passed","Wed May 07 14:49:36 GMT 2025","","Frontend Menu Functionality","Check My Profile button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","1988","Check Sign Up link button","","Wed May 07 14:48:24 GMT 2025","passed","Wed May 07 14:48:26 GMT 2025","","Login Functionality","Check Sign Up link button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5094","Check Gameplan button","","Wed May 07 14:49:08 GMT 2025","passed","Wed May 07 14:49:13 GMT 2025","","Frontend Menu Functionality","Check Gameplan button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","3184","Check Our Team button","","Wed May 07 14:48:55 GMT 2025","passed","Wed May 07 14:48:58 GMT 2025","","Frontend Menu Functionality","Check Our Team button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","2691","Check Home button","","Wed May 07 14:48:31 GMT 2025","passed","Wed May 07 14:48:34 GMT 2025","","Frontend Menu Functionality","Check Home button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5674","Check Contact Us button","","Wed May 07 14:48:49 GMT 2025","passed","Wed May 07 14:48:55 GMT 2025","","Frontend Menu Functionality","Check Contact Us button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","5405","Forgot password link","","Wed May 07 14:48:19 GMT 2025","passed","Wed May 07 14:48:24 GMT 2025","","Login Functionality","Forgot password link",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","2790","Unsuccessful login with invalid credentials","","Wed May 07 14:48:13 GMT 2025","passed","Wed May 07 14:48:16 GMT 2025","","Login Functionality","Unsuccessful login with invalid credentials",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","2804","Unsuccessful login with invalid credentials","","Wed May 07 14:48:11 GMT 2025","passed","Wed May 07 14:48:13 GMT 2025","","Login Functionality","Unsuccessful login with invalid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","6524","Check Calendar button","","Wed May 07 14:49:19 GMT 2025","passed","Wed May 07 14:49:25 GMT 2025","","Frontend Menu Functionality","Check Calendar button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","3172","Check What We Do button","","Wed May 07 14:48:34 GMT 2025","passed","Wed May 07 14:48:37 GMT 2025","","Frontend Menu Functionality","Check What We Do button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5677","Check Guidelines button","","Wed May 07 14:49:13 GMT 2025","passed","Wed May 07 14:49:19 GMT 2025","","Frontend Menu Functionality","Check Guidelines button",""
