"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","5418","Forgot password link","","Wed May 07 13:19:32 GMT 2025","passed","Wed May 07 13:19:37 GMT 2025","","Login Functionality","Forgot password link",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","1075","Validation empty login or password fields","","Wed May 07 13:19:31 GMT 2025","passed","Wed May 07 13:19:32 GMT 2025","","Login Functionality","Validation empty login or password fields",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5713","Check Study Guide button","","Wed May 07 13:20:50 GMT 2025","passed","Wed May 07 13:20:56 GMT 2025","","Frontend Menu Functionality","Check Study Guide button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4239","Check Testimonials button","","Wed May 07 13:19:56 GMT 2025","passed","Wed May 07 13:20:00 GMT 2025","","Frontend Menu Functionality","Check Testimonials button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","3311","Check F.A.C. button","","Wed May 07 13:20:00 GMT 2025","passed","Wed May 07 13:20:03 GMT 2025","","Frontend Menu Functionality","Check F.A.C. button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5443","Check Grades button","","Wed May 07 13:20:15 GMT 2025","passed","Wed May 07 13:20:21 GMT 2025","","Frontend Menu Functionality","Check Grades button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","3143","Check Our Team button","","Wed May 07 13:20:08 GMT 2025","passed","Wed May 07 13:20:11 GMT 2025","","Frontend Menu Functionality","Check Our Team button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4854","Check My Profile button","","Wed May 07 13:20:40 GMT 2025","passed","Wed May 07 13:20:45 GMT 2025","","Frontend Menu Functionality","Check My Profile button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","1031","Validation empty login or password fields","","Wed May 07 13:19:30 GMT 2025","passed","Wed May 07 13:19:31 GMT 2025","","Login Functionality","Validation empty login or password fields",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","6881","Check Settings button","","Wed May 07 13:21:07 GMT 2025","passed","Wed May 07 13:21:14 GMT 2025","","Frontend Menu Functionality","Check Settings button",""
