"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","3012","Unsuccessful login with invalid credentials","","Wed May 07 15:51:10 GMT 2025","passed","Wed May 07 15:51:13 GMT 2025","","Login Functionality","Unsuccessful login with invalid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5207","Check Gameplan button","","Wed May 07 15:52:11 GMT 2025","passed","Wed May 07 15:52:16 GMT 2025","","Frontend Menu Functionality","Check Gameplan button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4345","Check Contact Us button","","Wed May 07 15:51:53 GMT 2025","passed","Wed May 07 15:51:58 GMT 2025","","Frontend Menu Functionality","Check Contact Us button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","1364","Validation empty login or password fields","","Wed May 07 15:51:17 GMT 2025","passed","Wed May 07 15:51:19 GMT 2025","","Login Functionality","Validation empty login or password fields",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","6246","Successful login with valid credentials","","Wed May 07 15:51:04 GMT 2025","failed","Wed May 07 15:51:10 GMT 2025","","Login Functionality","Successful login with valid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5447","Check Classroom button","","Wed May 07 15:52:50 GMT 2025","passed","Wed May 07 15:52:55 GMT 2025","","Frontend Menu Functionality","Check Classroom button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5224","Check My Profile button","","Wed May 07 15:52:34 GMT 2025","passed","Wed May 07 15:52:39 GMT 2025","","Frontend Menu Functionality","Check My Profile button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","6356","Check Film To Field button","","Wed May 07 15:52:55 GMT 2025","passed","Wed May 07 15:53:02 GMT 2025","","Frontend Menu Functionality","Check Film To Field button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","2378","Check Sign Up link button","","Wed May 07 15:51:25 GMT 2025","passed","Wed May 07 15:51:27 GMT 2025","","Login Functionality","Check Sign Up link button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5011","Check Scholarships button","","Wed May 07 15:52:01 GMT 2025","passed","Wed May 07 15:52:06 GMT 2025","","Frontend Menu Functionality","Check Scholarships button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","6020","Check Guidelines button","","Wed May 07 15:52:16 GMT 2025","passed","Wed May 07 15:52:22 GMT 2025","","Frontend Menu Functionality","Check Guidelines button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4488","Check Get Verified button","","Wed May 07 15:53:12 GMT 2025","passed","Wed May 07 15:53:16 GMT 2025","","Frontend Menu Functionality","Check Get Verified button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4679","Check What We Do button","","Wed May 07 15:51:35 GMT 2025","passed","Wed May 07 15:51:40 GMT 2025","","Frontend Menu Functionality","Check What We Do button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","3502","Check Our Team button","","Wed May 07 15:51:58 GMT 2025","passed","Wed May 07 15:52:01 GMT 2025","","Frontend Menu Functionality","Check Our Team button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","6664","Check Settings button","","Wed May 07 15:53:02 GMT 2025","passed","Wed May 07 15:53:08 GMT 2025","","Frontend Menu Functionality","Check Settings button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","2928","Unsuccessful login with invalid credentials","","Wed May 07 15:51:13 GMT 2025","passed","Wed May 07 15:51:16 GMT 2025","","Login Functionality","Unsuccessful login with invalid credentials",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5847","Check Study Guide button","","Wed May 07 15:52:44 GMT 2025","passed","Wed May 07 15:52:50 GMT 2025","","Frontend Menu Functionality","Check Study Guide button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","5269","Check Coach Directory button","","Wed May 07 15:52:39 GMT 2025","passed","Wed May 07 15:52:44 GMT 2025","","Frontend Menu Functionality","Check Coach Directory button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4033","Check Background button","","Wed May 07 15:51:40 GMT 2025","passed","Wed May 07 15:51:44 GMT 2025","","Frontend Menu Functionality","Check Background button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","4286","Check Grades button","","Wed May 07 15:52:06 GMT 2025","passed","Wed May 07 15:52:11 GMT 2025","","Frontend Menu Functionality","Check Grades button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","6808","Check Calendar button","","Wed May 07 15:52:22 GMT 2025","passed","Wed May 07 15:52:29 GMT 2025","","Frontend Menu Functionality","Check Calendar button",""
