"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","231","Check all options are displayed and clickable for Menu button","","Wed May 07 12:52:24 GMT 2025","broken","Wed May 07 12:52:24 GMT 2025","","Frontend Menu Functionality","Check all options are displayed and clickable for Menu button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","229","Forgot password link","","Wed May 07 12:52:23 GMT 2025","broken","Wed May 07 12:52:24 GMT 2025","","Login Functionality","Forgot password link",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","225","Check Classroom button","","Wed May 07 12:52:28 GMT 2025","broken","Wed May 07 12:52:28 GMT 2025","","Frontend Menu Functionality","Check Classroom button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","221","Check Film To Field button","","Wed May 07 12:52:28 GMT 2025","broken","Wed May 07 12:52:28 GMT 2025","","Frontend Menu Functionality","Check Film To Field button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","228","Check F.A.C. button","","Wed May 07 12:52:25 GMT 2025","broken","Wed May 07 12:52:25 GMT 2025","","Frontend Menu Functionality","Check F.A.C. button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","224","Check Gameplan button","","Wed May 07 12:52:26 GMT 2025","broken","Wed May 07 12:52:27 GMT 2025","","Frontend Menu Functionality","Check Gameplan button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","276","Check Study Guide button","","Wed May 07 12:52:28 GMT 2025","broken","Wed May 07 12:52:28 GMT 2025","","Frontend Menu Functionality","Check Study Guide button",""
"  As a User
  I want to be able to see clickable SideMenu button
  So that I can access to menu options","298","Check What We Do button","","Wed May 07 12:52:24 GMT 2025","broken","Wed May 07 12:52:25 GMT 2025","","Frontend Menu Functionality","Check What We Do button",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","231","Validation empty login or password fields","","Wed May 07 12:52:23 GMT 2025","broken","Wed May 07 12:52:23 GMT 2025","","Login Functionality","Validation empty login or password fields",""
"  As a Student
  I want to be able to login to the G.E.M. Class Recruiting website
  So that I can access my account","226","Check Sign Up link button","","Wed May 07 12:52:24 GMT 2025","broken","Wed May 07 12:52:24 GMT 2025","","Login Functionality","Check Sign Up link button",""
